Date,Sharpe,HRP,Sortino,SPY
2023-08-02,102069.71665900642,113579.18716761972,102436.60282547977,119092.05963880994
2023-08-03,102778.61105443715,114056.6278051304,103173.40742554984,118750.77323810375
2023-08-04,102222.57664311622,113408.02605929531,102616.07511960583,118213.67787151365
2023-08-07,103912.62165480584,115010.12931719156,104445.96160437705,119245.52023459617
2023-08-08,103870.71894410667,114722.00944695772,104414.99763170317,118726.94914517475
2023-08-09,103809.33502768888,114198.51618392109,104276.27250495956,117933.2473994121
2023-08-10,103786.1031928661,114120.51761053481,104263.95647777473,117975.57069151719
2023-08-11,104790.9679787978,114683.81731835364,105262.83014186706,117906.77339860289
2023-08-14,104844.9238750789,115059.58654683977,105361.1455322437,118557.62253943087
2023-08-15,103625.3106915003,114057.22649247476,104110.2944483114,117176.56077066335
2023-08-16,102846.57085816431,113409.020297674,103376.39230787527,116316.69492120486
2023-08-17,102993.3983041531,113034.86816066195,103548.19623013913,115430.3885082606
2023-08-18,103381.81456528019,113072.7682116613,103914.2917872529,115485.93626177401
2023-08-21,102196.14443992967,112553.66257723857,102742.25237971642,116237.33143409326
2023-08-22,101501.99254003806,112046.18755941323,102019.63469776811,115922.47723754199
2023-08-23,101159.80275642504,112462.51188711476,101681.8196749178,117213.6009656698
2023-08-24,100954.09696776567,111780.0293093346,101499.72808830121,115589.11548248376
2023-08-25,101950.7591950973,112610.67841912535,102491.63024276607,116403.99977262612
2023-08-28,101970.31133150167,112778.7421204613,102497.49883948038,117142.17048353706
2023-08-29,102346.78088081577,113619.16203884796,102913.23789931195,118835.419822314
2023-08-30,102584.43990009569,113970.75535250265,103187.08190485493,119324.88372170778
2023-08-31,101527.75422647325,113270.85065338998,102101.34532956519,119150.27401886527
2023-09-01,101972.38164137372,113541.04531771077,102575.4910699549,119372.49847024238
2023-09-05,102049.64601315827,113244.2720667352,102694.6853064166,118856.59400736283
2023-09-06,101684.34609631392,112456.33462383553,102354.89132957345,118057.584086509
2023-09-07,102384.64972857745,112919.20017428444,103011.81242396942,117695.13186008482
2023-09-08,102760.71066655472,113175.76288631657,103432.46658213003,117872.3914708075
2023-09-11,102909.97439438192,113742.84488562656,103554.27999560194,118647.59401739406
2023-09-12,103806.65919857197,113709.50308900332,104582.38922580943,117996.73651723523
2023-09-13,103693.62685407608,113945.90344405112,104431.80865550251,118134.29766574042
2023-09-14,104489.32616491386,114609.91925885457,105198.96222958123,119152.92392674545
2023-09-15,103742.83253003523,113390.5981529034,104468.70638201026,117717.32588349761
2023-09-18,104237.33751083068,113791.07763066611,104983.80424004736,117786.36559700663
2023-09-19,103815.10612454911,113372.18241910769,104574.95486240093,117542.0892308412
2023-09-20,104157.36701070455,112901.48464541767,104871.41954921786,116461.47853156645
2023-09-21,103823.94432578437,111931.46280947131,104530.43173440249,114536.56705688017
2023-09-22,103751.19986715165,111649.73259477987,104430.9616036889,114279.02443265216
2023-09-25,104247.38985071944,111951.26702747538,104985.79353698246,114759.58564468827
2023-09-26,103654.05598409758,110781.25610306258,104402.01719216531,113073.64236107621
2023-09-27,103911.38408009779,110630.36760834145,104707.63286296172,113118.757669686
2023-09-28,103954.01637987516,110882.62187811542,104776.15575749401,113774.56389370938
2023-09-29,102686.50765300923,110052.2232640772,103414.76226238701,113498.43011766588
2023-10-02,102541.33563896264,110259.82891679984,103259.33931418194,113453.28973106355
2023-10-03,102121.05186534218,109297.58944491428,102748.74950590312,111934.6166578057
2023-10-04,101313.17979054124,109458.306647483,101928.53376695982,112749.7182905502
2023-10-05,101240.58072583222,109559.232096611,101953.75192939724,112707.22781182805
2023-10-06,101399.96688963429,110302.06936286755,102123.08574909384,114045.3811353308
2023-10-09,102429.41207224787,110859.85322370943,103172.90894187476,114775.52688862354
2023-10-10,102419.00128088734,111185.0392002679,103157.66336362358,115372.90138998946
2023-10-11,101040.56688486326,110587.61585982979,101832.17134877165,115845.51287838502
2023-10-12,101005.64619561512,110420.02353713867,101743.92865543418,115139.26645199896
2023-10-13,102606.56833678439,111041.79187493642,103298.24163396504,114565.77455887802
2023-10-16,102804.77216466705,111743.42978381786,103464.8513953901,115771.16498978481
2023-10-17,102807.35068400792,111412.54956143624,103447.73062335278,115765.8568146936
2023-10-18,102554.83109543935,110648.88937216993,102988.37133961776,114223.25097720567
2023-10-19,102129.4428569095,110117.16182124935,102556.3705161626,113219.65479307302
2023-10-20,101426.9709327493,109399.39202557523,101814.67878827368,111828.40299999654
2023-10-23,100582.01482746359,108971.45292950385,100978.16806645964,111634.58355485549
2023-10-24,100660.7037335364,109365.05833192871,101023.61326672176,112476.25114104856
2023-10-25,100959.86977930111,109002.95801256404,101273.34346974606,110861.94732284058
2023-10-26,100134.32689192722,107597.97669218696,100461.37096889816,109534.43542751278
2023-10-27,98546.00553353917,106386.61953558042,98890.39224636706,109037.94133087221
2023-10-30,99516.74534569372,107839.49557152968,99879.25720491442,110341.57061795505
2023-10-31,100232.91648690807,108567.14081745179,100631.02543701822,111034.55914560938
2023-11-01,100159.17976106155,109161.24414451006,100607.88361591812,112218.70015748964
2023-11-02,101816.31748440315,110883.14930468783,102288.38883867148,114369.30520585673
2023-11-03,101515.40460740284,111074.00116845281,102075.20796134372,115412.7336015005
2023-11-06,101033.43444821304,111192.97349188113,101483.46958023532,115678.24266803075
2023-11-07,100669.94645218107,111235.19732138462,101123.5097763832,116007.44983565541
2023-11-08,100194.6338410608,111140.10540242797,100667.91269837078,116092.4224337689
2023-11-09,99931.5913728742,110402.6531598499,100419.905432246,115187.04838715057
2023-11-10,100369.30840163851,111436.66290866923,100858.65884300822,116984.53022232464
2023-11-13,100786.3862331672,111452.64652165286,101233.91491524687,116873.01674875517
2023-11-14,100985.63315022881,112505.50343612563,101508.29728859536,119140.42672712122
2023-11-15,101022.73374846256,112769.1720073517,101606.69247764142,119392.65281692716
2023-11-16,101239.90615642222,113386.80095529878,101821.44379861276,119538.69868624743
2023-11-17,101505.38846055522,113284.48146432759,102134.95477582041,119687.36938545528
2023-11-20,101638.6059049737,113746.14762687891,102331.57633599281,120608.6846760089
2023-11-21,101997.03296498956,113785.44689584551,102710.65068987432,120345.83387668969
2023-11-22,102146.15272595768,114251.19323498575,102822.95480879325,120810.47056345218
2023-11-24,102786.68576870262,114623.1905780407,103467.98707055271,120884.81009272154
2023-11-27,102193.10193033841,114280.39918404206,102855.81389505505,120667.10803933551
2023-11-28,102084.27982502648,114451.83115132185,102690.99578862073,120786.5879552072
2023-11-29,101393.58498575613,113991.10268738652,102016.35875924035,120701.6069977629
2023-11-30,102956.5201156267,115186.41192573236,103525.44962120609,121176.85167537692
